dataset,split,lag,mean_margin_influence,ci_low,ci_high,help_percent,hurt_percent,neutral_percent,n_users
amazon-sports-and-outdoors,test,1,0.09873953031841666,0.08384096369349864,0.11474787567695602,65.64999999999999,34.35,0.0,2000
amazon-sports-and-outdoors,test,2,0.010922599486541004,0.004002992465056013,0.017164532346324993,57.65,42.35,0.0,2000
amazon-sports-and-outdoors,test,3,-0.001274815263783699,-0.00686758523512601,0.0044734931444195955,56.01233299075026,43.98766700924974,0.0,1946
amazon-sports-and-outdoors,test,4,0.006390684780168843,0.0015893021532485028,0.011144080545276033,56.08028335301063,43.91971664698938,0.0,1694
amazon-sports-and-outdoors,test,5,-0.0004945314801872185,-0.005505627640746279,0.004395345046363558,55.0513698630137,44.9486301369863,0.0,1168
amazon-sports-and-outdoors,test,6,-0.0002533915384294898,-0.0056703538570001665,0.004474920603064494,53.910950661853185,46.08904933814681,0.0,831
amazon-sports-and-outdoors,test,7,-0.0031290510833263396,-0.008132022229582071,0.0022387414896488152,51.68000000000001,48.32,0.0,625
amazon-sports-and-outdoors,test,8,-0.00035397899012232936,-0.005164172193606485,0.004271395380823352,54.756871035940804,45.243128964059196,0.0,473
amazon-sports-and-outdoors,test,9,-9.628091975459903e-05,-0.005019702941785491,0.004456716905937107,53.805774278215225,46.194225721784775,0.0,381
amazon-sports-and-outdoors,test,10,0.0031649966435185794,-0.00156635078762112,0.0069512925579630095,57.931034482758626,42.06896551724138,0.0,290
amazon-sports-and-outdoors,test,11,0.003381964658294712,-0.0006316016453343469,0.007363704769863735,61.711711711711715,38.288288288288285,0.0,222
amazon-sports-and-outdoors,test,12,0.005673085249239399,0.0010171000995943622,0.010228902359883631,63.44086021505376,36.55913978494624,0.0,186
amazon-sports-and-outdoors,test,13,-0.002476501445739697,-0.009278442108860382,0.0029545454738231784,54.48717948717948,45.51282051282051,0.0,156
amazon-sports-and-outdoors,test,14,0.0016016593346228967,-0.002148160493144622,0.0050295285250131876,56.92307692307692,43.07692307692308,0.0,130
amazon-sports-and-outdoors,test,15,0.0002449715643056801,-0.0032560327439568933,0.003564778515802958,46.42857142857143,53.57142857142857,0.0,112
