dataset,split,user,history_length,positive_signal_total,items_for_50pct,items_for_80pct,items_for_90pct
amazon-toys-and-games,valid,29387,4,1.0955950307971098,4,4,4
amazon-toys-and-games,valid,30094,4,2.9848880997129275,1,1,4
amazon-toys-and-games,valid,30119,7,3.5096801351858757,3,3,3
amazon-toys-and-games,valid,30154,11,5.847257896378197,8,10,10
amazon-toys-and-games,valid,30229,3,2.912680607430784,1,1,1
amazon-toys-and-games,valid,30507,3,6.851874411314499,2,3,3
amazon-toys-and-games,valid,30962,5,1.6392274055603469,4,4,4
amazon-toys-and-games,valid,30983,5,1.9512699163297382,4,5,5
amazon-toys-and-games,valid,31341,4,3.840927019220121,4,4,4
amazon-toys-and-games,valid,31568,1,0.3661804848317807,1,1,1
amazon-toys-and-games,valid,31928,6,4.469521736135957,2,4,4
amazon-toys-and-games,valid,31997,3,1.2244491440553147,2,3,3
amazon-toys-and-games,valid,32510,4,2.2218602401726164,3,4,4
amazon-toys-and-games,valid,33797,4,2.903383194899021,3,4,4
amazon-toys-and-games,valid,33941,2,0.023997529426132314,1,1,1
amazon-toys-and-games,valid,34420,3,0.7043235232417289,1,2,2
amazon-toys-and-games,valid,34439,4,29.4647904961076,3,4,4
amazon-toys-and-games,valid,34542,5,7.445938772850073,3,4,5
amazon-toys-and-games,valid,34745,4,2.080288717647319,4,4,4
amazon-toys-and-games,valid,35116,4,0.2558473273385784,2,2,2
amazon-toys-and-games,valid,35633,4,0.611178638415539,1,1,1
amazon-toys-and-games,valid,36208,4,1.239566673081743,2,2,2
amazon-toys-and-games,valid,36290,7,3.6109040950723172,2,4,6
amazon-toys-and-games,valid,36820,4,4.731574464015943,1,2,2
amazon-toys-and-games,valid,36979,15,11.607897462836249,4,13,15
amazon-toys-and-games,valid,36997,5,8.129028667422519,3,4,5
amazon-toys-and-games,valid,37581,3,7.350441960392522,2,3,3
amazon-toys-and-games,valid,37762,1,1.7373484754432966,1,1,1
amazon-toys-and-games,valid,37821,11,0.9640331776870954,6,6,8
amazon-toys-and-games,valid,38679,29,33.283647671020546,2,2,8
amazon-toys-and-games,valid,38849,3,11.51340926987598,1,1,1
amazon-toys-and-games,valid,39220,10,62.886442839740745,6,9,9
amazon-toys-and-games,valid,39493,7,6.321902797236808,1,3,3
amazon-toys-and-games,valid,39498,12,19.201163998001228,4,8,9
amazon-toys-and-games,valid,39641,4,1.2195722524905748,4,4,4
amazon-toys-and-games,valid,39681,3,6.086737355622045,1,1,1
amazon-toys-and-games,valid,39944,3,3.846134172323286,2,2,2
amazon-toys-and-games,valid,39966,5,1.355052593612418,1,1,1
amazon-toys-and-games,valid,40226,6,18.457460802312916,2,6,6
amazon-toys-and-games,valid,40293,1,2.3699383324170293,1,1,1
amazon-toys-and-games,valid,41236,4,2.613047759347486,3,4,4
amazon-toys-and-games,valid,41331,4,32.47734707521532,2,4,4
amazon-toys-and-games,valid,42279,6,4.257425651151858,5,6,6
amazon-toys-and-games,valid,42430,17,3.9148232597977537,10,11,11
amazon-toys-and-games,valid,42950,3,0.19242547501658736,3,3,3
amazon-toys-and-games,valid,43197,4,1.9721266091949188,4,4,4
amazon-toys-and-games,valid,43230,25,60.85309148390076,15,22,23
amazon-toys-and-games,valid,43534,17,7.038846080604433,7,12,13
amazon-toys-and-games,valid,43855,29,95.10544557764811,14,19,21
amazon-toys-and-games,valid,44453,15,4.509199036081547,3,4,6
amazon-toys-and-games,valid,44454,4,0.1416023857253652,3,3,3
amazon-toys-and-games,valid,44902,4,1.390152906285727,4,4,4
amazon-toys-and-games,valid,45910,11,0.426265949333377,10,10,10
amazon-toys-and-games,valid,46074,6,4.033051957501627,4,5,5
amazon-toys-and-games,valid,46601,6,0.6576095401693087,2,4,4
amazon-toys-and-games,valid,46641,3,0.33382472017101755,1,1,1
amazon-toys-and-games,valid,47058,7,1.7969537895045007,4,5,5
amazon-toys-and-games,valid,47614,5,1.6093689038460166,5,5,5
amazon-toys-and-games,valid,47915,7,2.8442404493732525,7,7,7
amazon-toys-and-games,valid,48455,3,1.620476367168613,3,3,3
amazon-toys-and-games,valid,48621,4,14.625620465742132,2,4,4
amazon-toys-and-games,valid,48625,1,0.09012016473106547,1,1,1
amazon-toys-and-games,valid,48662,7,4.59603745603496,2,6,6
amazon-toys-and-games,valid,48855,3,3.238683909666702,1,3,3
amazon-toys-and-games,valid,48901,6,0.36530815672004135,2,6,6
amazon-toys-and-games,valid,49025,3,1.1087493314290908,1,1,1
amazon-toys-and-games,valid,50076,14,11.468111578816487,9,12,12
amazon-toys-and-games,valid,50506,5,1.362805960721139,3,3,3
amazon-toys-and-games,valid,50632,3,1.8482500723672475,3,3,3
amazon-toys-and-games,valid,50950,5,7.167521592065526,2,3,5
amazon-toys-and-games,valid,51286,4,2.4731295683307137,2,3,4
amazon-toys-and-games,valid,51647,4,1.7605448265529264,2,3,3
amazon-toys-and-games,valid,51800,3,3.3683999157333444,2,2,2
amazon-toys-and-games,valid,51968,3,2.1090673868248664,2,2,3
amazon-toys-and-games,valid,52057,2,4.079201169310519,1,1,1
amazon-toys-and-games,valid,52171,10,16.133281464605567,7,10,10
amazon-toys-and-games,valid,52490,6,1.0776156988955845,1,5,5
amazon-toys-and-games,valid,52839,3,5.499830600243073,3,3,3
amazon-toys-and-games,valid,53251,3,0.1382401942458979,3,3,3
amazon-toys-and-games,valid,53522,9,2.1716921084631506,8,9,9
amazon-toys-and-games,valid,53887,6,0.3276505622952507,2,2,2
amazon-toys-and-games,valid,53940,2,11.406084009504095,1,2,2
amazon-toys-and-games,valid,53969,4,7.512267331473488,2,2,2
amazon-toys-and-games,valid,54159,3,0.8103282434140113,2,2,2
amazon-toys-and-games,valid,54300,10,4.322229770073587,7,8,8
amazon-toys-and-games,valid,54357,3,4.5832302399152125,2,2,3
amazon-toys-and-games,valid,54472,26,28.07112373860109,9,19,20
amazon-toys-and-games,valid,54523,13,16.970546324809504,1,1,2
amazon-toys-and-games,valid,55102,3,8.892461290242403,2,2,2
amazon-toys-and-games,valid,55575,2,0.322985412521137,2,2,2
amazon-toys-and-games,valid,55739,4,1.1773493709820526,3,3,3
