source_table,dataset,split,cohort,lag_bin,lag_start,lag_end,metric,mean,ci_low,ci_high,n_users,n_positions,units,status,lag,mean_margin_influence,help_percent,hurt_percent,neutral_percent,recent_items,mean_percent,median_percent,q25_percent,q75_percent
alignment_summary.csv,amazon-all-beauty,test,all_available,5-8,5,8,raw_cluster_match,0.14723467862481315,0.12481315396113603,0.1719045839561534,669,1800,probability_difference,estimated,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,5-8,5,8,random_cluster_match,0.06003363228699553,0.05577945939212755,0.06453054932735426,669,1800,probability_difference,estimated,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,5-8,5,8,excess_cluster_match,0.08720104633781763,0.06479727204783259,0.11229244519182859,669,1800,probability_difference,estimated,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,9-16,9,16,raw_cosine,0.10820314345540624,0.09962953348965861,0.11839855928789036,249,1322,cosine,estimated,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,9-16,9,16,random_cosine,0.09226158931564635,0.0897818699272904,0.09485760436388334,249,1322,cosine,estimated,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,9-16,9,16,excess_cosine,0.015941554139759895,0.007945924446558672,0.02573776852824124,249,1322,cosine,estimated,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,9-16,9,16,raw_cosine_z,0.36052223200057,0.2187536095473523,0.5291081676430203,249,1322,within_subset_z,estimated,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,9-16,9,16,random_cosine_z,0.09692123088364125,0.05591791919087478,0.1398475453213997,249,1322,within_subset_z,estimated,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,9-16,9,16,excess_cosine_z,0.2636010011169287,0.1313895508900421,0.4255859554896796,249,1322,within_subset_z,estimated,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,9-16,9,16,raw_cluster_match,0.10045419774335437,0.07718720118569516,0.12601453432778734,249,1322,probability_difference,estimated,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,9-16,9,16,random_cluster_match,0.0649878083763626,0.05926515586154141,0.07118848608720596,249,1322,probability_difference,estimated,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,9-16,9,16,excess_cluster_match,0.03546638936699178,0.012425529498948172,0.0600940906483075,249,1322,probability_difference,estimated,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,17-32,17,32,raw_cosine,0.1041175102186317,0.09532733490997515,0.11402305796606058,92,860,cosine,exploratory_n_lt_100,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,17-32,17,32,random_cosine,0.09118726560182255,0.08725907480430721,0.09568854432720389,92,860,cosine,exploratory_n_lt_100,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,17-32,17,32,excess_cosine,0.012930244616809134,0.0043333549442204815,0.022663798363224973,92,860,cosine,exploratory_n_lt_100,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,17-32,17,32,raw_cosine_z,0.2929643890218688,0.147614758048557,0.4567572212603141,92,860,within_subset_z,exploratory_n_lt_100,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,17-32,17,32,random_cosine_z,0.07915678934896746,0.014202330221248349,0.15358752351167276,92,860,within_subset_z,exploratory_n_lt_100,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,17-32,17,32,excess_cosine_z,0.21380759967290125,0.0716540364557402,0.374756431228875,92,860,within_subset_z,exploratory_n_lt_100,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,17-32,17,32,raw_cluster_match,0.08057553859184292,0.05497656102955017,0.10957497212931994,92,860,probability_difference,exploratory_n_lt_100,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,17-32,17,32,random_cluster_match,0.06404242798264537,0.0544367714109562,0.07419048503202713,92,860,probability_difference,exploratory_n_lt_100,,,,,,,,,,
