dataset,split,recent_items,mean_percent,median_percent,q25_percent,q75_percent,n_users
amazon-sports-and-outdoors,valid,65,99.97124194219717,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,66,99.97263587117988,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,67,99.97358958300937,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,68,99.97498345014554,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,69,99.97611470557881,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,70,99.97723790833045,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,71,99.97860329061766,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,72,99.97973587067973,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,73,99.98203755501324,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,74,99.9832255140456,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,75,99.98529622261724,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,76,99.98613251256027,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,77,99.98613251256027,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,78,99.98613251256027,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,79,99.9868078777572,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,80,99.98740634144738,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,81,99.98855890760359,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,82,99.99114994490982,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,83,99.99122108565392,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,84,99.99122108565392,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,85,99.99184124916948,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,86,99.99200194474062,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,87,99.99279332648457,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,88,99.99347246136948,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,89,99.99427555074953,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,90,99.9949432369821,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,91,99.9949432369821,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,92,99.99577071293602,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,93,99.9961974986055,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,94,99.99679270977389,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,95,99.99716427538795,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,96,99.99929506528869,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,97,99.99956939943601,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,98,100.0,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,99,100.0,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,valid,100,100.0,100.0,100.0,100.0,1862
amazon-sports-and-outdoors,test,1,24.95155545050971,14.00747554771791,0.0,40.755719789773835,1923
amazon-sports-and-outdoors,test,2,45.56283939149813,41.49804835220008,14.636683088615811,76.07324624917752,1923
amazon-sports-and-outdoors,test,3,62.38084364888575,67.5715857713964,34.04543013773074,100.0,1923
amazon-sports-and-outdoors,test,4,76.83724645555866,98.6026296306901,56.211403239912315,100.0,1923
amazon-sports-and-outdoors,test,5,84.00757083958042,100.0,72.99500092606704,100.0,1923
amazon-sports-and-outdoors,test,6,88.62097930117208,100.0,92.40157944707629,100.0,1923
amazon-sports-and-outdoors,test,7,91.42880342681723,100.0,99.99999999999999,100.0,1923
amazon-sports-and-outdoors,test,8,93.44638803337784,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,9,94.85590756846102,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,10,95.96932609508838,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,11,96.70993187707539,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,12,97.2700759605905,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,13,97.60717803148113,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,14,97.9852487618519,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,15,98.22943799105077,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,16,98.49786023525797,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,17,98.7105246829693,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,18,98.84399451028177,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,19,98.99919643986789,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,20,99.1049809961717,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,21,99.17475393828248,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,22,99.23640380664045,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,23,99.29245660163542,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,24,99.32500751742785,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,25,99.41633800973783,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,26,99.47854086109884,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,27,99.51897778264014,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,28,99.5704946875955,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,29,99.60441634117674,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,30,99.64401105034226,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,31,99.65762793321746,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,32,99.68597517594418,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,33,99.70720945617015,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,34,99.71421869020504,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,35,99.73133575540707,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,36,99.74235748921853,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,37,99.75615534451279,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,38,99.78421159807863,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,39,99.79983976700474,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,40,99.81043009331026,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,41,99.82382815517971,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,42,99.83754168026316,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,43,99.84851895638077,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,44,99.85615843135166,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,45,99.86966620832287,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,46,99.88573162463983,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,47,99.89923965517383,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,48,99.90625455840856,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,49,99.9119607660141,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,50,99.91874691501542,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,51,99.92923529504947,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,52,99.93464960112267,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,53,99.93675132011468,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,54,99.94036968082091,100.0,100.0,100.0,1923
amazon-sports-and-outdoors,test,55,99.94275155298848,100.0,100.0,100.0,1923
