dataset,split,user,history_length,old_count,old_fraction,old_item_auc,old_preference_proxy_auc,recent_margin,full_margin,full_minus_recent_margin,low_alignment_old_fraction,low_alignment_old_cluster_excess
amazon-sports-and-outdoors,valid,6106,37,27,0.7297297297297297,0.7,0.3,0.053943246603012085,0.04821646213531494,-0.0057267844676971436,0.43243243243243246,-0.0125
amazon-sports-and-outdoors,valid,9437,12,2,0.16666666666666666,0.1,0.425,0.0905572772026062,0.05790635943412781,-0.032650917768478394,0.16666666666666666,-0.05
amazon-sports-and-outdoors,valid,14969,30,20,0.6666666666666666,0.2,0.8,0.036661297082901,0.020290374755859375,-0.016370922327041626,0.2,-0.1416666666666667
amazon-sports-and-outdoors,valid,16921,11,1,0.09090909090909091,0.35,0.475,0.0686364471912384,0.06295987963676453,-0.005676567554473877,0.09090909090909091,-0.2
amazon-sports-and-outdoors,valid,21549,16,6,0.375,0.25,0.225,-0.06066219508647919,-0.06894716620445251,-0.008284971117973328,0.1875,-0.15000000000000002
amazon-sports-and-outdoors,valid,24503,12,2,0.16666666666666666,1.0,0.45,0.049035802483558655,0.05564799904823303,0.0066121965646743774,0.16666666666666666,0.0
amazon-sports-and-outdoors,valid,26234,11,1,0.09090909090909091,1.0,0.35,0.037259891629219055,0.050237685441970825,0.01297779381275177,0.0,nan
amazon-sports-and-outdoors,valid,28071,11,1,0.09090909090909091,0.75,0.425,0.1107250452041626,0.10915479063987732,-0.0015702545642852783,0.0,nan
amazon-sports-and-outdoors,valid,28835,13,3,0.23076923076923078,0.55,0.475,0.03284519910812378,0.03611236810684204,0.0032671689987182617,0.07692307692307693,-0.05
amazon-sports-and-outdoors,valid,30460,38,28,0.7368421052631579,0.95,0.55,0.03734782338142395,0.08171525597572327,0.044367432594299316,0.34210526315789475,-0.023076923076923075
amazon-sports-and-outdoors,valid,30612,13,3,0.23076923076923078,0.65,0.425,0.11852842569351196,0.11806049942970276,-0.0004679262638092041,0.07692307692307693,-0.1
amazon-sports-and-outdoors,valid,33476,11,1,0.09090909090909091,0.55,0.4,0.09063969552516937,0.08627583086490631,-0.0043638646602630615,0.09090909090909091,-0.05
amazon-sports-and-outdoors,valid,34419,17,7,0.4117647058823529,0.6,0.8,0.06293854117393494,0.04239243268966675,-0.02054610848426819,0.17647058823529413,-0.19999999999999998
amazon-sports-and-outdoors,valid,38272,13,3,0.23076923076923078,0.75,0.425,-0.0028620362281799316,0.008676260709762573,0.011538296937942505,0.07692307692307693,0.0
amazon-sports-and-outdoors,valid,44095,16,6,0.375,0.65,0.35,0.1685749739408493,0.13280504941940308,-0.03576992452144623,0.25,-0.037500000000000006
amazon-sports-and-outdoors,valid,44415,19,9,0.47368421052631576,0.65,0.45,0.016920149326324463,0.002963036298751831,-0.013957113027572632,0.3157894736842105,-0.016666666666666666
amazon-sports-and-outdoors,valid,44800,14,4,0.2857142857142857,0.05,0.35,-0.11014749109745026,-0.10506565868854523,0.005081832408905029,0.14285714285714285,-0.025
amazon-sports-and-outdoors,valid,45556,12,2,0.16666666666666666,0.2,0.425,-0.008767202496528625,-0.01972806453704834,-0.010960862040519714,0.16666666666666666,0.0
amazon-sports-and-outdoors,valid,49428,11,1,0.09090909090909091,0.35,0.5,0.010060295462608337,0.0037142038345336914,-0.006346091628074646,0.09090909090909091,0.0
amazon-sports-and-outdoors,valid,54371,16,6,0.375,0.05,0.275,-0.01924481987953186,-0.03895139694213867,-0.01970657706260681,0.25,0.0
amazon-sports-and-outdoors,valid,57779,31,21,0.6774193548387096,0.8,0.425,0.10389970242977142,0.07440325617790222,-0.0294964462518692,0.41935483870967744,-0.019230769230769232
amazon-sports-and-outdoors,valid,57876,68,58,0.8529411764705882,1.0,0.9,0.19097644090652466,0.15935322642326355,-0.03162321448326111,0.27941176470588236,0.02368421052631578
amazon-sports-and-outdoors,valid,59916,12,2,0.16666666666666666,1.0,0.925,0.022088289260864258,0.03454887866973877,0.012460589408874512,0.08333333333333333,-0.05
amazon-sports-and-outdoors,valid,62891,16,6,0.375,0.7,0.325,0.03956204652786255,0.055812180042266846,0.016250133514404297,0.1875,-0.16666666666666666
amazon-sports-and-outdoors,valid,68983,51,41,0.803921568627451,1.0,1.0,0.15671098232269287,0.11832079291343689,-0.03839018940925598,0.19607843137254902,-0.015000000000000003
amazon-sports-and-outdoors,valid,78133,19,9,0.47368421052631576,0.4,0.9,-0.0016614794731140137,-0.02421918511390686,-0.022557705640792847,0.2631578947368421,0.12999999999999998
amazon-sports-and-outdoors,valid,79863,12,2,0.16666666666666666,0.8,0.4,0.08417272567749023,0.08272521197795868,-0.0014475136995315552,0.0,nan
amazon-sports-and-outdoors,valid,81370,16,6,0.375,0.95,0.325,0.15330709517002106,0.157446026802063,0.004138931632041931,0.1875,-0.016666666666666666
amazon-sports-and-outdoors,valid,85243,26,16,0.6153846153846154,0.95,0.7,0.11388105154037476,0.14579972624778748,0.03191867470741272,0.07692307692307693,-0.07500000000000001
amazon-sports-and-outdoors,valid,86405,14,4,0.2857142857142857,0.95,0.375,-0.022355854511260986,0.015473216772079468,0.037829071283340454,0.07142857142857142,0.0
amazon-sports-and-outdoors,valid,87846,20,10,0.5,0.85,0.225,-0.027237296104431152,-0.03554615378379822,-0.008308857679367065,0.2,-0.0125
amazon-sports-and-outdoors,valid,92997,15,5,0.3333333333333333,1.0,0.925,0.02427220344543457,0.076504647731781,0.052232444286346436,0.06666666666666667,-0.05
amazon-sports-and-outdoors,valid,95702,26,16,0.6153846153846154,0.25,0.975,-0.05177336931228638,-0.06018781661987305,-0.00841444730758667,0.2692307692307692,0.2357142857142857
amazon-sports-and-outdoors,valid,97001,11,1,0.09090909090909091,0.8,0.45,0.06383849680423737,0.06715305149555206,0.0033145546913146973,0.0,nan
amazon-sports-and-outdoors,valid,102083,14,4,0.2857142857142857,0.8,0.425,0.15488821268081665,0.14351481199264526,-0.011373400688171387,0.07142857142857142,-0.25
amazon-sports-and-outdoors,valid,107770,11,1,0.09090909090909091,0.35,0.95,0.007044792175292969,0.002775907516479492,-0.0042688846588134766,0.0,nan
amazon-sports-and-outdoors,valid,108775,33,23,0.696969696969697,0.65,0.325,0.09228503704071045,0.11044096946716309,0.018155932426452637,0.24242424242424243,-0.0625
amazon-sports-and-outdoors,valid,112771,18,8,0.4444444444444444,1.0,0.425,0.1770378202199936,0.16614678502082825,-0.010891035199165344,0.1111111111111111,0.0
amazon-sports-and-outdoors,valid,113184,16,6,0.375,0.85,0.35,-0.003355741500854492,0.007025033235549927,0.010380774736404419,0.0625,-0.05
amazon-sports-and-outdoors,valid,118656,43,33,0.7674418604651163,0.1,0.675,-0.06277468800544739,-0.09327436983585358,-0.03049968183040619,0.5348837209302325,-0.0673913043478261
amazon-sports-and-outdoors,valid,122411,22,12,0.5454545454545454,1.0,0.625,0.07624451816082001,0.13131964206695557,0.05507512390613556,0.22727272727272727,-0.11000000000000001
amazon-sports-and-outdoors,valid,123118,25,15,0.6,0.8,0.875,0.22150284051895142,0.189300537109375,-0.032202303409576416,0.08,0.0
amazon-sports-and-outdoors,valid,129670,12,2,0.16666666666666666,0.7,0.4,-0.005288571119308472,0.004825025796890259,0.01011359691619873,0.0,nan
amazon-sports-and-outdoors,valid,132910,12,2,0.16666666666666666,1.0,0.475,0.12052202224731445,0.20850184559822083,0.08797982335090637,0.0,nan
amazon-sports-and-outdoors,valid,134642,26,16,0.6153846153846154,1.0,0.825,0.1485903561115265,0.15242144465446472,0.0038310885429382324,0.38461538461538464,0.125
amazon-sports-and-outdoors,valid,136389,14,4,0.2857142857142857,0.0,0.425,-0.11076691746711731,-0.1327163279056549,-0.021949410438537598,0.2857142857142857,-0.025
amazon-sports-and-outdoors,valid,136569,15,5,0.3333333333333333,0.3,0.825,0.015056908130645752,0.01520228385925293,0.00014537572860717773,0.13333333333333333,-0.05
amazon-sports-and-outdoors,valid,137136,42,32,0.7619047619047619,0.75,0.975,0.03905719518661499,0.08231762051582336,0.043260425329208374,0.19047619047619047,-0.07500000000000001
amazon-sports-and-outdoors,valid,137794,14,4,0.2857142857142857,0.8,0.375,0.07259836792945862,0.07084301114082336,-0.001755356788635254,0.21428571428571427,-0.03333333333333333
amazon-sports-and-outdoors,valid,142353,11,1,0.09090909090909091,0.3,0.375,0.14181634783744812,0.12956878542900085,-0.012247562408447266,0.09090909090909091,-0.05
amazon-sports-and-outdoors,valid,146960,26,16,0.6153846153846154,0.2,0.3,-0.0025736093521118164,-0.01467585563659668,-0.012102246284484863,0.23076923076923078,-0.025000000000000005
amazon-sports-and-outdoors,valid,150926,15,5,0.3333333333333333,0.5,0.4,0.07542353868484497,0.06777974963188171,-0.007643789052963257,0.2,0.0
amazon-sports-and-outdoors,valid,151028,14,4,0.2857142857142857,0.8,0.425,0.06542187929153442,0.06497997045516968,-0.0004419088363647461,0.14285714285714285,-0.05
amazon-sports-and-outdoors,valid,151481,14,4,0.2857142857142857,0.95,0.85,0.12486857175827026,0.12457555532455444,-0.0002930164337158203,0.07142857142857142,-0.2
