dataset,split,lag,mean_margin_influence,ci_low,ci_high,help_percent,hurt_percent,neutral_percent,n_users
amazon:Baby_Products,test,1,0.06569665273278952,0.05332590340748429,0.07817263347767293,69.8,30.2,0.0,2000
amazon:Baby_Products,test,2,0.002718761149793863,-0.002729646330233663,0.008133826719038185,63.5,36.5,0.0,2000
amazon:Baby_Products,test,3,0.0001933981047969469,-0.005200956423319051,0.005452765211447982,62.776659959758554,37.223340040241446,0.0,1988
amazon:Baby_Products,test,4,0.0016673936699194481,-0.003270272205134096,0.006604487005382817,63.56425171866738,36.43574828133263,0.0,1891
amazon:Baby_Products,test,5,-0.0020710513584072518,-0.006871290223626313,0.0024924662159352745,62.490508731966585,37.50949126803341,0.0,1317
amazon:Baby_Products,test,6,0.00023705842078248143,-0.004137064970715286,0.004688556594330638,59.523809523809526,40.476190476190474,0.0,924
amazon:Baby_Products,test,7,-0.0036036922148367464,-0.008533909764574504,0.0011446191677183615,60.72931276297335,39.27068723702665,0.0,713
amazon:Baby_Products,test,8,-0.005429697376788215,-0.011298891640715786,-0.0001361317904959808,61.4100185528757,38.5899814471243,0.0,539
amazon:Baby_Products,test,9,-0.004242095340918835,-0.009061753707787683,0.0003898677403270371,59.67741935483871,40.32258064516129,0.0,434
amazon:Baby_Products,test,10,-0.0012093466058328158,-0.004862503438485973,0.0025462134772385138,57.75075987841946,42.24924012158054,0.0,329
amazon:Baby_Products,test,11,-0.006288382352567187,-0.012994951199667126,-0.0004180459473647364,56.07843137254902,43.92156862745098,0.0,255
amazon:Baby_Products,test,12,0.00453338794299026,0.0005637390557583885,0.00968395572303984,59.70149253731343,40.298507462686565,0.0,201
amazon:Baby_Products,test,13,-0.002681333119469571,-0.007390180176307011,0.0021569681671485606,56.06936416184971,43.93063583815029,0.0,173
amazon:Baby_Products,test,14,-0.003209900564035854,-0.007165821903460734,0.00012999133181732913,54.054054054054056,45.94594594594595,0.0,148
amazon:Baby_Products,test,15,0.0028033578020381176,-1.960869614533552e-05,0.005310873106474012,62.20472440944882,37.79527559055118,0.0,127
amazon:Baby_Products,test,16,0.000410352825024806,-0.0028201715183367422,0.004214413067616453,49.54128440366973,50.45871559633027,0.0,109
amazon:Baby_Products,test,17,-0.001199253350496292,-0.005061925601214171,0.0015171091742813582,59.0,41.0,0.0,100
amazon:Baby_Products,test,18,-0.006809729269181175,-0.018496554284945302,0.0007846059299063404,62.06896551724138,37.93103448275862,0.0,87
amazon:Baby_Products,test,19,-0.0018669053530081725,-0.005395611834067565,0.0011158978805328014,58.97435897435898,41.02564102564102,0.0,78
amazon:Baby_Products,test,20,0.0007825048876480317,-0.0020306667601558527,0.003196581694441782,59.154929577464785,40.845070422535215,0.0,71
