dataset,split,lag,mean_margin_influence,ci_low,ci_high,help_percent,hurt_percent,neutral_percent,n_users
amazon-all-beauty,test,1,0.014539779255303439,0.0093875253638259,0.01993641054172097,56.07412491420728,43.925875085792725,0.0,1457
amazon-all-beauty,test,2,-0.00012666727470549805,-0.0003283311957435896,8.059418929629546e-05,53.328757721345234,46.60260809883322,0.06863417982155114,1457
amazon-all-beauty,test,3,-0.00026230691939361334,-0.0004657951505609261,-4.233243622521109e-05,52.24806201550387,47.674418604651166,0.07751937984496124,1290
amazon-all-beauty,test,4,-0.00015741947746087447,-0.0003557547083440817,4.0146273439666795e-05,53.922542204568025,45.97815292949355,0.09930486593843098,1007
amazon-all-beauty,test,5,-0.00035615049313714864,-0.0006044300147770766,-0.00010281978077596258,49.02840059790732,50.82212257100149,0.14947683109118087,669
amazon-all-beauty,test,6,-0.00019264396131663452,-0.0004137689649933789,2.6426500244460355e-05,45.073375262054505,54.71698113207547,0.20964360587002098,477
amazon-all-beauty,test,7,-0.0004249263982303807,-0.0006719847520192464,-0.0001821323496396425,42.62295081967213,57.377049180327866,0.0,366
amazon-all-beauty,test,8,7.938179704878065e-06,-0.0002139352262020111,0.0002227926212880345,50.0,50.0,0.0,288
amazon-all-beauty,test,9,2.2729237874348957e-05,-0.00019780320814814434,0.00024364755814333992,53.41365461847389,46.58634538152611,0.0,249
amazon-all-beauty,test,10,-0.00019356431482045073,-0.0004098567244124739,2.8770481614761503e-05,45.20547945205479,54.337899543378995,0.45662100456621,219
amazon-all-beauty,test,11,-9.05204065067252e-05,-0.0002998597843130839,0.00011814463998853496,50.51546391752577,49.48453608247423,0.0,194
amazon-all-beauty,test,12,5.0368132414641205e-05,-0.0001813087934329186,0.0002530184792883601,52.46913580246913,47.53086419753087,0.0,162
amazon-all-beauty,test,13,-1.9506974653764203e-05,-0.00022018372595727025,0.0001663423084712527,51.048951048951054,48.95104895104895,0.0,143
amazon-all-beauty,test,14,-4.5325404913850534e-05,-0.0002569008243176364,0.00015996629877607944,48.06201550387597,51.162790697674424,0.7751937984496124,129
amazon-all-beauty,test,15,7.881605920712809e-06,-0.00018239770053832,0.00019781589508056634,50.413223140495866,49.586776859504134,0.0,121
amazon-all-beauty,test,16,7.792881556919642e-05,-0.00010670593806675501,0.00025693416595458975,52.38095238095239,47.61904761904761,0.0,105
amazon-all-beauty,test,17,-1.4947808307150137e-05,-0.0001751746820366901,0.0001522198967311693,50.0,48.91304347826087,1.0869565217391304,92
amazon-all-beauty,test,18,1.8875773360089558e-05,-0.00014585314727411035,0.00017468202404859586,52.4390243902439,47.5609756097561,0.0,82
amazon-all-beauty,test,19,-5.5337881113027594e-05,-0.000212065585247882,0.00010543488836907696,42.857142857142854,57.14285714285714,0.0,77
amazon-all-beauty,test,20,-0.0001062573613347234,-0.00024867379987562026,2.9000398275014497e-05,44.5945945945946,54.054054054054056,1.3513513513513513,74
amazon-all-beauty,test,21,-4.493656443126166e-05,-0.0001977913415254052,0.00011111124237971519,50.74626865671642,49.25373134328358,0.0,67
amazon-all-beauty,test,22,-0.00013490707155257937,-0.0003046936459011502,3.738176254999042e-05,46.03174603174603,53.96825396825397,0.0,63
amazon-all-beauty,test,23,-8.798467701879041e-05,-0.00022513948637863684,4.7364317137619404e-05,44.827586206896555,55.172413793103445,0.0,58
amazon-all-beauty,test,24,2.4006916926457332e-05,-0.0001098770361680251,0.00015309453010559077,50.0,50.0,0.0,52
amazon-all-beauty,test,25,-0.00016709168752034506,-0.0003041446208953858,-2.4128953615824547e-05,39.58333333333333,58.333333333333336,2.083333333333333,48
amazon-all-beauty,test,26,-0.00011584099302900598,-0.00022080908430383562,-2.3982372689754415e-05,34.04255319148936,65.95744680851064,0.0,47
amazon-all-beauty,test,27,-0.00013595403626907702,-0.0002680589986401935,8.07296398074128e-06,41.86046511627907,58.139534883720934,0.0,43
amazon-all-beauty,test,28,3.3507475981841217e-06,-0.00015672477515968117,0.00015186876864046664,56.75675675675676,40.54054054054054,2.7027027027027026,37
amazon-all-beauty,test,29,-0.00010546515969669118,-0.0002665884354535271,4.622796002556294e-05,44.11764705882353,55.88235294117647,0.0,34
amazon-all-beauty,test,30,-9.766940412850215e-06,-0.00012592529428416286,0.00010849278548668168,51.724137931034484,48.275862068965516,0.0,29
amazon-all-beauty,test,31,-2.117814688846983e-05,-0.0001416765410324623,0.00010354929956896537,48.275862068965516,51.724137931034484,0.0,29
amazon-all-beauty,test,32,-5.681174142020089e-05,-0.00016171761921473913,4.3739591326032325e-05,42.857142857142854,57.14285714285714,0.0,28
amazon-all-beauty,test,33,-9.553773062569755e-05,-0.00019884279796055385,7.637909480503395e-06,46.42857142857143,53.57142857142857,0.0,28
amazon-all-beauty,test,34,-3.4059797014508927e-08,-0.0001123990331377302,0.00011246885572160991,42.857142857142854,57.14285714285714,0.0,28
amazon-all-beauty,test,35,-7.293535315472147e-05,-0.0001856461815212084,3.49314316459323e-05,30.434782608695656,69.56521739130434,0.0,23
amazon-all-beauty,test,36,2.852353182705966e-05,-4.595626484264027e-05,0.00011687062003395773,40.909090909090914,59.09090909090909,0.0,22
amazon-all-beauty,test,37,2.9212550113075658e-05,-7.570919237638774e-05,0.0001273079922324732,47.368421052631575,52.63157894736842,0.0,19
amazon-all-beauty,test,38,-7.957882351345486e-05,-0.00014814005957709418,-1.1656019422743055e-05,27.77777777777778,72.22222222222221,0.0,18
amazon-all-beauty,test,39,-5.1856040954589844e-05,-0.0001626133918762207,5.6388974189758285e-05,31.25,68.75,0.0,16
amazon-all-beauty,test,40,-4.755655924479167e-05,-0.0001429430643717448,4.8319498697916664e-05,20.0,80.0,0.0,15
amazon-all-beauty,test,41,-2.2633870442708334e-05,-9.766260782877604e-05,5.3151448567708334e-05,26.666666666666668,73.33333333333333,0.0,15
amazon-all-beauty,test,42,3.417332967122396e-05,-4.4186909993489586e-05,0.00012985865275065103,41.66666666666667,58.333333333333336,0.0,12
amazon-all-beauty,test,43,3.067652384440104e-05,-3.179311752319336e-05,9.490251541137689e-05,41.66666666666667,58.333333333333336,0.0,12
amazon-all-beauty,test,44,-1.2715657552083334e-05,-7.724761962890625e-05,6.326834360758458e-05,41.66666666666667,58.333333333333336,0.0,12
amazon-all-beauty,test,45,-8.138020833333333e-05,-0.0001735846201578776,-1.3987223307291666e-05,25.0,66.66666666666666,8.333333333333332,12
amazon-all-beauty,test,46,-9.218851725260416e-06,-7.661978403727214e-05,8.107026418050125e-05,33.33333333333333,66.66666666666666,0.0,12
amazon-all-beauty,test,47,2.4275346235795454e-06,-6.797963922674006e-05,8.982745083895592e-05,36.36363636363637,63.63636363636363,0.0,11
amazon-all-beauty,test,48,7.62939453125e-06,-6.6375732421875e-05,0.00011064529418945303,20.0,70.0,10.0,10
amazon-all-beauty,test,49,-4.1961669921875e-05,-8.434719509548611e-05,9.7592671712239e-06,22.22222222222222,77.77777777777779,0.0,9
amazon-all-beauty,test,50,-8.900960286458334e-06,-3.942913479275174e-05,2.712673611111111e-05,33.33333333333333,66.66666666666666,0.0,9
amazon-all-beauty,test,51,-9.5367431640625e-07,-4.482269287109375e-05,5.2928924560546875e-05,37.5,62.5,0.0,8
amazon-all-beauty,test,52,-1.2874603271484375e-05,-5.0079822540283206e-05,3.910064697265625e-05,25.0,75.0,0.0,8
amazon-all-beauty,test,53,9.5367431640625e-07,-2.7179718017578125e-05,4.0531158447265625e-05,25.0,75.0,0.0,8
amazon-all-beauty,test,54,-3.160749162946429e-05,-5.613054547991071e-05,-7.62939453125e-06,28.57142857142857,71.42857142857143,0.0,7
amazon-all-beauty,test,55,-4.141671316964286e-05,-5.395071847098214e-05,-2.7247837611607144e-05,0.0,100.0,0.0,7
amazon-all-beauty,test,56,-4.1961669921875e-05,-6.268365042550223e-05,-1.8528529575892856e-05,14.285714285714285,85.71428571428571,0.0,7
amazon-all-beauty,test,57,-2.6157924107142856e-05,-3.923688616071429e-05,-1.0340554373604986e-05,14.285714285714285,85.71428571428571,0.0,7
amazon-all-beauty,test,58,-4.305158342633929e-05,-5.940028599330357e-05,-2.7247837611607144e-05,0.0,100.0,0.0,7
amazon-all-beauty,test,59,-1.9709269205729168e-05,-4.76837158203125e-05,4.450480143229167e-06,50.0,50.0,0.0,6
amazon-all-beauty,test,60,-4.450480143229167e-06,-2.4159749348958332e-05,1.6530354817708332e-05,33.33333333333333,66.66666666666666,0.0,6
amazon-all-beauty,test,61,-2.9881795247395832e-05,-4.76837158203125e-05,-1.1444091796875e-05,16.666666666666664,83.33333333333334,0.0,6
amazon-all-beauty,test,62,-3.1789143880208336e-05,-4.38690185546875e-05,-1.2079874674479166e-05,16.666666666666664,83.33333333333334,0.0,6
amazon-all-beauty,test,63,-2.9754638671875e-05,-6.103515625e-05,1.52587890625e-06,40.0,60.0,0.0,5
amazon-all-beauty,test,64,-2.2125244140625e-05,-5.4931640625e-05,1.068115234375e-05,20.0,80.0,0.0,5
amazon-all-beauty,test,65,-2.2125244140625e-05,-5.1116943359375e-05,5.378723144531041e-06,40.0,60.0,0.0,5
amazon-all-beauty,test,66,-2.574920654296875e-05,-4.673004150390625e-05,1.9073486328125e-06,25.0,75.0,0.0,4
amazon-all-beauty,test,67,-2.956390380859375e-05,-6.008148193359375e-05,-1.9073486328125e-06,25.0,75.0,0.0,4
amazon-all-beauty,test,68,-1.7801920572916668e-05,-3.814697265625e-05,-7.62939453125e-06,0.0,100.0,0.0,3
amazon-all-beauty,test,69,-3.0517578125e-05,-4.9591064453125e-05,-7.62939453125e-06,0.0,100.0,0.0,3
amazon-all-beauty,test,70,-1.7801920572916668e-05,-5.340576171875e-05,0.0,0.0,33.33333333333333,66.66666666666666,3
amazon-all-beauty,test,71,-1.7801920572916668e-05,-7.2479248046875e-05,1.9073486328125e-05,33.33333333333333,33.33333333333333,33.33333333333333,3
amazon-all-beauty,test,72,-1.1444091796875e-05,-2.288818359375e-05,0.0,0.0,50.0,50.0,2
amazon-all-beauty,test,73,-2.47955322265625e-05,-3.4332275390625e-05,-1.52587890625e-05,0.0,100.0,0.0,2
amazon-all-beauty,test,74,3.814697265625e-06,-7.62939453125e-06,1.52587890625e-05,50.0,50.0,0.0,2
amazon-all-beauty,test,75,3.814697265625e-06,0.0,7.62939453125e-06,50.0,0.0,50.0,2
amazon-all-beauty,test,76,5.7220458984375e-06,0.0,1.1444091796875e-05,50.0,0.0,50.0,2
amazon-all-beauty,test,77,1.33514404296875e-05,0.0,2.6702880859375e-05,50.0,0.0,50.0,2
