dataset,split,cohort,lag_bin,lag_start,lag_end,metric,mean,ci_low,ci_high,n_users,n_positions,units,status
amazon-toys-and-games,valid,all_available,9-16,9,16,raw_cosine,0.16242742115097505,0.15617187760994689,0.16931878544137763,397,1850,cosine,estimated
amazon-toys-and-games,valid,all_available,9-16,9,16,random_cosine,0.1387892585008473,0.13590775085309392,0.14188581234724934,397,1850,cosine,estimated
amazon-toys-and-games,valid,all_available,9-16,9,16,excess_cosine,0.023638162650127727,0.018138660439602057,0.02949718113839253,397,1850,cosine,estimated
amazon-toys-and-games,valid,all_available,9-16,9,16,raw_cosine_z,0.6656150535236846,0.5594146756541583,0.7826097617975923,397,1850,within_subset_z,estimated
amazon-toys-and-games,valid,all_available,9-16,9,16,random_cosine_z,0.2643099088755686,0.21539054655025375,0.3168801110369592,397,1850,within_subset_z,estimated
amazon-toys-and-games,valid,all_available,9-16,9,16,excess_cosine_z,0.4013051446481158,0.30794008228038944,0.5007737157350649,397,1850,within_subset_z,estimated
amazon-toys-and-games,valid,all_available,9-16,9,16,raw_cluster_match,0.14514213745951784,0.11971917356363199,0.17248695573947465,397,1850,probability_difference,estimated
amazon-toys-and-games,valid,all_available,9-16,9,16,random_cluster_match,0.058656890967974086,0.053704667446323615,0.06332254932829555,397,1850,probability_difference,estimated
amazon-toys-and-games,valid,all_available,9-16,9,16,excess_cluster_match,0.08648524649154371,0.062255944884250916,0.1130115786553916,397,1850,probability_difference,estimated
amazon-toys-and-games,valid,all_available,17-32,17,32,raw_cosine,0.164636622868539,0.1521519381473839,0.1792803490839029,123,1034,cosine,estimated
amazon-toys-and-games,valid,all_available,17-32,17,32,random_cosine,0.1389361311925912,0.1336334478808778,0.14411528970513254,123,1034,cosine,estimated
amazon-toys-and-games,valid,all_available,17-32,17,32,excess_cosine,0.025700491675947783,0.013955290570583038,0.03900841836291241,123,1034,cosine,estimated
amazon-toys-and-games,valid,all_available,17-32,17,32,raw_cosine_z,0.7031206764414234,0.4911681536474317,0.951727251919584,123,1034,within_subset_z,estimated
amazon-toys-and-games,valid,all_available,17-32,17,32,random_cosine_z,0.2668033669195602,0.17677969947437505,0.35472995354957865,123,1034,within_subset_z,estimated
amazon-toys-and-games,valid,all_available,17-32,17,32,excess_cosine_z,0.4363173095218631,0.2369190018668415,0.6622460131662643,123,1034,within_subset_z,estimated
amazon-toys-and-games,valid,all_available,17-32,17,32,raw_cluster_match,0.15324634714878616,0.10857288121769829,0.2065078942060649,123,1034,probability_difference,estimated
amazon-toys-and-games,valid,all_available,17-32,17,32,random_cluster_match,0.05093303320437467,0.04436960486160182,0.05770638843428476,123,1034,probability_difference,estimated
amazon-toys-and-games,valid,all_available,17-32,17,32,excess_cluster_match,0.1023133139444115,0.05846795992794468,0.15369385756237885,123,1034,probability_difference,estimated
amazon-toys-and-games,valid,all_available,33-64,33,64,raw_cosine,0.16760307457608623,0.1488457197943325,0.18561460197602891,30,371,cosine,exploratory_n_lt_100
