dataset,split,user,history_length,positive_signal_total,items_for_50pct,items_for_80pct,items_for_90pct
amazon:Baby_Products,valid,33396,5,0.7583057468220339,5,5,5
amazon:Baby_Products,valid,33510,3,0.9904603085275423,2,2,3
amazon:Baby_Products,valid,33604,3,8.101699363579185,2,2,2
amazon:Baby_Products,valid,33918,4,3.9308225470074154,4,4,4
amazon:Baby_Products,valid,33987,5,3.377752375198623,4,5,5
amazon:Baby_Products,valid,33988,3,0.05025210623013776,3,3,3
amazon:Baby_Products,valid,34024,6,3.4959749900688557,5,6,6
amazon:Baby_Products,valid,34118,3,2.8606213585805085,2,2,2
amazon:Baby_Products,valid,34130,3,4.092884128376589,2,3,3
amazon:Baby_Products,valid,34328,12,4.404583843683792,4,12,12
amazon:Baby_Products,valid,34390,4,1.5510023214049258,3,4,4
amazon:Baby_Products,valid,34453,6,1.7004425566075212,4,5,5
amazon:Baby_Products,valid,34474,4,3.0040767346398307,4,4,4
amazon:Baby_Products,valid,34478,4,2.164521091267214,1,1,2
amazon:Baby_Products,valid,34578,3,0.6391982256355933,2,2,2
amazon:Baby_Products,valid,34644,9,4.634843418961865,5,9,9
amazon:Baby_Products,valid,34741,4,0.2076511189088983,1,1,1
amazon:Baby_Products,valid,34744,3,1.1227539062499998,1,2,2
amazon:Baby_Products,valid,34913,3,0.5425957114009534,3,3,3
amazon:Baby_Products,valid,35043,3,1.7218199649099575,2,3,3
amazon:Baby_Products,valid,35052,16,7.7137703588453395,13,13,15
amazon:Baby_Products,valid,35276,4,1.249338337526483,2,2,3
amazon:Baby_Products,valid,35324,13,4.112470516916049,9,9,12
amazon:Baby_Products,valid,35340,8,7.8674258474576275,5,7,8
amazon:Baby_Products,valid,35355,5,0.6139801542637712,4,4,5
amazon:Baby_Products,valid,35472,6,3.5719018968485168,3,6,6
amazon:Baby_Products,valid,35584,3,4.145431466829979,2,3,3
amazon:Baby_Products,valid,35647,3,4.058858580508475,2,2,2
amazon:Baby_Products,valid,35749,3,0.5800744008209746,1,1,2
amazon:Baby_Products,valid,35857,9,4.18117282673464,5,9,9
amazon:Baby_Products,valid,36098,27,12.531761867717162,16,17,21
amazon:Baby_Products,valid,36122,3,0.8577365681276483,2,2,2
amazon:Baby_Products,valid,36198,3,1.6262755313162076,3,3,3
amazon:Baby_Products,valid,36311,5,4.1041822530455505,3,4,4
amazon:Baby_Products,valid,36323,3,0.2704310530323093,1,1,1
amazon:Baby_Products,valid,36415,5,2.204563567597987,5,5,5
amazon:Baby_Products,valid,36432,3,0.7755694890426378,1,1,3
amazon:Baby_Products,valid,36504,3,2.2607171527409955,2,3,3
amazon:Baby_Products,valid,36558,5,1.5822213900291313,5,5,5
amazon:Baby_Products,valid,36570,3,0.18356685315148302,2,2,2
amazon:Baby_Products,valid,36588,4,2.1522603697695972,3,4,4
amazon:Baby_Products,valid,36835,6,3.653320519398835,4,4,5
amazon:Baby_Products,valid,37126,4,0.7516694666975634,3,4,4
amazon:Baby_Products,valid,37336,6,0.8051652294094279,4,4,4
amazon:Baby_Products,valid,37430,4,2.5285369355799787,2,3,4
amazon:Baby_Products,valid,37465,6,0.4592198258739406,5,5,5
amazon:Baby_Products,valid,37571,9,0.5645507812499999,9,9,9
amazon:Baby_Products,valid,37603,10,4.088541321835276,5,7,7
amazon:Baby_Products,valid,37695,3,2.3587201651880294,1,1,1
amazon:Baby_Products,valid,37786,4,3.3137219445180084,1,4,4
amazon:Baby_Products,valid,38031,2,1.3267125016551906,1,1,1
amazon:Baby_Products,valid,38250,4,3.122622732388771,2,4,4
amazon:Baby_Products,valid,38622,5,1.3072433213056145,3,4,4
amazon:Baby_Products,valid,38636,16,5.086520437466896,10,11,13
amazon:Baby_Products,valid,38646,4,0.9081177792306674,4,4,4
amazon:Baby_Products,valid,38747,3,1.6332068491790255,2,2,2
amazon:Baby_Products,valid,38749,3,1.6917633573887711,2,3,3
amazon:Baby_Products,valid,39044,4,1.4244757183527543,1,1,3
amazon:Baby_Products,valid,39091,3,1.2425903320312501,3,3,3
amazon:Baby_Products,valid,39190,9,2.487152616856462,2,2,2
amazon:Baby_Products,valid,39262,3,1.2614226777674786,3,3,3
amazon:Baby_Products,valid,39381,3,0.10155112056408898,1,1,1
amazon:Baby_Products,valid,39390,3,2.9460229905985167,2,2,3
amazon:Baby_Products,valid,39510,7,4.3347120382018005,6,6,6
amazon:Baby_Products,valid,39608,5,0.30342065843485166,1,1,4
amazon:Baby_Products,valid,39725,5,1.8651789261122882,4,5,5
amazon:Baby_Products,valid,39731,3,2.549144266419492,3,3,3
amazon:Baby_Products,valid,39807,7,1.6860471563824153,2,2,5
amazon:Baby_Products,valid,39833,2,3.4828115689552437,2,2,2
amazon:Baby_Products,valid,39909,4,13.148550880561439,2,3,3
amazon:Baby_Products,valid,40082,8,6.5040742518538135,2,2,4
amazon:Baby_Products,valid,40118,6,1.5913001108977753,4,6,6
amazon:Baby_Products,valid,40418,8,4.966070246292373,4,7,8
amazon:Baby_Products,valid,40450,71,11.445589537539725,31,55,58
amazon:Baby_Products,valid,40779,3,1.1450091863082628,1,2,2
amazon:Baby_Products,valid,40794,3,2.26733791545286,1,1,2
amazon:Baby_Products,valid,41084,6,0.7394947116657838,2,5,5
amazon:Baby_Products,valid,41112,4,0.9655589992717162,2,4,4
amazon:Baby_Products,valid,41187,4,34.21763667737024,2,4,4
amazon:Baby_Products,valid,41369,11,7.8835301286083155,7,7,10
amazon:Baby_Products,valid,41416,5,2.6503680730270127,4,5,5
amazon:Baby_Products,valid,41522,6,0.11309586864406779,2,2,2
amazon:Baby_Products,valid,41540,3,2.1558817200741522,3,3,3
amazon:Baby_Products,valid,41600,3,0.6099596961069914,3,3,3
amazon:Baby_Products,valid,41607,9,2.8389826370497886,7,9,9
amazon:Baby_Products,valid,41895,15,6.2102408716234105,4,4,4
amazon:Baby_Products,valid,41910,4,2.1510369769597455,1,4,4
amazon:Baby_Products,valid,41992,6,11.376348773503707,5,6,6
amazon:Baby_Products,valid,42084,4,1.3979872881355933,3,3,3
amazon:Baby_Products,valid,42130,4,3.5984692589711336,1,2,2
amazon:Baby_Products,valid,42156,2,0.25565413135593223,2,2,2
amazon:Baby_Products,valid,42505,4,2.1613589529263773,3,3,3
amazon:Baby_Products,valid,42554,6,0.47399819584216085,5,6,6
amazon:Baby_Products,valid,42645,3,0.9211258193193856,2,3,3
amazon:Baby_Products,valid,42699,9,1.1317173844676907,8,8,9
amazon:Baby_Products,valid,42781,4,1.7066371077198093,3,3,3
amazon:Baby_Products,valid,42978,3,1.596220785884534,2,2,2
amazon:Baby_Products,valid,42997,5,1.5527836169226694,2,2,2
amazon:Baby_Products,valid,43020,4,7.805282541048729,2,4,4
amazon:Baby_Products,valid,43091,6,3.5603445279396193,3,5,5
amazon:Baby_Products,valid,43220,4,0.8485374321371822,3,4,4
amazon:Baby_Products,valid,43292,3,0.9073449086334746,1,2,2
amazon:Baby_Products,valid,43303,3,1.043573308395127,2,2,2
amazon:Baby_Products,valid,43368,6,0.8212048546742584,6,6,6
amazon:Baby_Products,valid,43599,3,0.42592607918432196,3,3,3
amazon:Baby_Products,valid,43721,4,5.472891493975107,3,4,4
amazon:Baby_Products,valid,43729,4,1.3205417439088984,4,4,4
amazon:Baby_Products,valid,43747,12,7.38723537639036,1,6,6
amazon:Baby_Products,valid,43841,4,4.8074394614009535,4,4,4
amazon:Baby_Products,valid,43941,14,4.4032950708421605,9,10,10
amazon:Baby_Products,valid,43964,5,0.6614110914327331,3,4,4
amazon:Baby_Products,valid,44078,3,0.5463885808395126,3,3,3
amazon:Baby_Products,valid,44101,5,0.8627811755164195,1,1,4
amazon:Baby_Products,valid,44258,4,8.129343634136653,1,2,3
amazon:Baby_Products,valid,44394,3,0.01697439420021185,3,3,3
amazon:Baby_Products,valid,44739,9,14.121982587394069,6,6,6
amazon:Baby_Products,valid,44915,4,1.1477232852224577,3,3,3
amazon:Baby_Products,valid,44976,8,1.4651515120166843,4,8,8
amazon:Baby_Products,valid,45136,6,10.31650825112553,4,4,6
amazon:Baby_Products,valid,45175,6,2.614605609441208,3,5,6
amazon:Baby_Products,valid,45202,3,0.7871658583818857,3,3,3
amazon:Baby_Products,valid,45578,6,1.8591767909163135,4,5,6
amazon:Baby_Products,valid,45680,4,1.7932451668432203,1,1,2
amazon:Baby_Products,valid,45759,25,11.512842003773834,12,20,20
amazon:Baby_Products,valid,45976,3,1.0676966780323092,1,1,1
amazon:Baby_Products,valid,46003,2,0.8910909361758476,2,2,2
amazon:Baby_Products,valid,46235,13,1.2214504435911016,7,9,9
amazon:Baby_Products,valid,46403,4,1.6958396782309322,2,3,3
amazon:Baby_Products,valid,46406,3,2.0468549308130295,3,3,3
amazon:Baby_Products,valid,46436,3,1.1463100627317266,1,1,3
amazon:Baby_Products,valid,46468,11,3.118286856958422,10,10,11
amazon:Baby_Products,valid,46485,2,0.7449735997086865,2,2,2
amazon:Baby_Products,valid,46515,34,14.613560356528073,23,30,30
amazon:Baby_Products,valid,46654,15,3.2267396054025426,7,12,15
amazon:Baby_Products,valid,46661,2,0.8267445709745763,2,2,2
amazon:Baby_Products,valid,46774,4,1.8649625099311442,3,3,4
amazon:Baby_Products,valid,46900,2,0.2415065959348517,1,1,2
amazon:Baby_Products,valid,47058,19,2.3552500579316735,12,17,17
amazon:Baby_Products,valid,47168,4,1.4573457362288136,4,4,4
amazon:Baby_Products,valid,47417,5,0.2209327827065678,1,1,1
amazon:Baby_Products,valid,47527,7,1.1897189900026484,7,7,7
amazon:Baby_Products,valid,47571,6,8.60878554521981,6,6,6
amazon:Baby_Products,valid,47826,3,3.9149703720868647,2,3,3
amazon:Baby_Products,valid,48077,3,6.152262645656779,2,2,2
amazon:Baby_Products,valid,48079,3,1.9302661960407839,2,3,3
