dataset,split,recent_items,mean_percent,median_percent,q25_percent,q75_percent,n_users
amazon-all-beauty,valid,83,99.98806918217728,100.0,100.0,100.0,1259
amazon-all-beauty,valid,84,99.98848432175983,100.0,100.0,100.0,1259
amazon-all-beauty,valid,85,99.9885036127544,100.0,100.0,100.0,1259
amazon-all-beauty,valid,86,99.9885036127544,100.0,100.0,100.0,1259
amazon-all-beauty,valid,87,99.98879978369364,100.0,100.0,100.0,1259
amazon-all-beauty,valid,88,99.98879978369364,100.0,100.0,100.0,1259
amazon-all-beauty,valid,89,99.98879978369364,100.0,100.0,100.0,1259
amazon-all-beauty,valid,90,99.98879978369364,100.0,100.0,100.0,1259
amazon-all-beauty,valid,91,99.99609218856374,100.0,100.0,100.0,1259
amazon-all-beauty,valid,92,99.99609218856374,100.0,100.0,100.0,1259
amazon-all-beauty,valid,93,99.99609218856374,100.0,100.0,100.0,1259
amazon-all-beauty,valid,94,99.99609218856374,100.0,100.0,100.0,1259
amazon-all-beauty,valid,95,99.99838614929754,100.0,100.0,100.0,1259
amazon-all-beauty,valid,96,99.99890056858045,100.0,100.0,100.0,1259
amazon-all-beauty,valid,97,99.99997512958487,100.0,100.0,100.0,1259
amazon-all-beauty,valid,98,100.0,100.0,100.0,100.0,1259
amazon-all-beauty,valid,99,100.0,100.0,100.0,100.0,1259
amazon-all-beauty,valid,100,100.0,100.0,100.0,100.0,1259
amazon-all-beauty,test,1,26.372588101646258,13.3990281181605,0.0,43.59895305340257,1355
amazon-all-beauty,test,2,50.147362949949304,49.30830033716988,12.845905405642522,94.99228554053312,1355
amazon-all-beauty,test,3,66.76319693587565,79.45341455381623,33.7913644079707,100.0,1355
amazon-all-beauty,test,4,78.76589449370697,100.0,63.84959771274873,100.0,1355
amazon-all-beauty,test,5,84.97398846360477,100.0,87.55611799527665,100.0,1355
amazon-all-beauty,test,6,88.01156961482069,100.0,99.99999999999999,100.0,1355
amazon-all-beauty,test,7,90.3648359116304,100.0,99.99999999999999,100.0,1355
amazon-all-beauty,test,8,92.07649947273526,100.0,100.0,100.0,1355
amazon-all-beauty,test,9,93.10408303739445,100.0,100.0,100.0,1355
amazon-all-beauty,test,10,94.23809038770776,100.0,100.0,100.0,1355
amazon-all-beauty,test,11,95.09118140691764,100.0,100.0,100.0,1355
amazon-all-beauty,test,12,95.89423318773989,100.0,100.0,100.0,1355
amazon-all-beauty,test,13,96.39827011004331,100.0,100.0,100.0,1355
amazon-all-beauty,test,14,96.82746966561355,100.0,100.0,100.0,1355
amazon-all-beauty,test,15,97.1982520382776,100.0,100.0,100.0,1355
amazon-all-beauty,test,16,97.57798021214823,100.0,100.0,100.0,1355
amazon-all-beauty,test,17,97.8297213658147,100.0,100.0,100.0,1355
amazon-all-beauty,test,18,98.04589554617702,100.0,100.0,100.0,1355
amazon-all-beauty,test,19,98.26164046772283,100.0,100.0,100.0,1355
amazon-all-beauty,test,20,98.46345633426071,100.0,100.0,100.0,1355
amazon-all-beauty,test,21,98.62729867737042,100.0,100.0,100.0,1355
amazon-all-beauty,test,22,98.74258331867134,100.0,100.0,100.0,1355
amazon-all-beauty,test,23,98.84311460016237,100.0,100.0,100.0,1355
amazon-all-beauty,test,24,98.99126418626545,100.0,100.0,100.0,1355
amazon-all-beauty,test,25,99.06418711998904,100.0,100.0,100.0,1355
amazon-all-beauty,test,26,99.12898282832651,100.0,100.0,100.0,1355
amazon-all-beauty,test,27,99.20360225566814,100.0,100.0,100.0,1355
amazon-all-beauty,test,28,99.25541451614701,100.0,100.0,100.0,1355
amazon-all-beauty,test,29,99.31487919815038,100.0,100.0,100.0,1355
amazon-all-beauty,test,30,99.38255818601839,100.0,100.0,100.0,1355
amazon-all-beauty,test,31,99.43465379891619,100.0,100.0,100.0,1355
amazon-all-beauty,test,32,99.49762455367278,100.0,100.0,100.0,1355
amazon-all-beauty,test,33,99.5235067370704,100.0,100.0,100.0,1355
