dataset,split,user,history_length,old_count,old_fraction,old_item_auc,old_preference_proxy_auc,preference_minus_item_auc,recent_margin,full_margin,full_minus_recent_margin,low_alignment_old_fraction,low_alignment_old_cluster_excess
amazon-all-beauty,valid,0,14,4,0.2857142857142857,0.7,0.325,-0.37499999999999994,-1.5626323223114014,-1.1601817607879639,0.4024505615234375,0.14285714285714285,-0.07500000000000001
amazon-all-beauty,valid,8,15,5,0.3333333333333333,0.1,0.4,0.30000000000000004,-0.3400588035583496,-0.6202806234359741,-0.2802218198776245,0.13333333333333333,-0.07500000000000001
amazon-all-beauty,valid,13,11,1,0.09090909090909091,0.05,0.4,0.35000000000000003,-1.033173680305481,-1.175981044769287,-0.14280736446380615,0.09090909090909091,-0.05
amazon-all-beauty,valid,14,14,4,0.2857142857142857,0.8,0.925,0.125,1.1181612014770508,1.0985915660858154,-0.01956963539123535,0.21428571428571427,-0.06666666666666667
amazon-all-beauty,valid,15,25,15,0.6,1.0,0.625,-0.375,2.505415916442871,3.5124990940093994,1.0070831775665283,0.24,-0.07500000000000001
amazon-all-beauty,valid,33,37,27,0.7297297297297297,0.0,0.275,0.275,0.016331195831298828,-0.552631139755249,-0.5689623355865479,0.40540540540540543,-0.02333333333333333
amazon-all-beauty,valid,34,19,9,0.47368421052631576,0.95,0.975,0.025000000000000022,4.156529426574707,4.70122766494751,0.5446982383728027,0.0,nan
amazon-all-beauty,valid,36,23,13,0.5652173913043478,0.45,0.925,0.47500000000000003,2.3616511821746826,2.0237483978271484,-0.3379027843475342,0.30434782608695654,-0.1
amazon-all-beauty,valid,81,40,30,0.75,0.25,0.825,0.575,-1.08758544921875,-0.7831733226776123,0.3044121265411377,0.375,-3.7007434154171884e-18
amazon-all-beauty,valid,93,19,9,0.47368421052631576,0.6,0.3,-0.3,-0.15923571586608887,-0.26938343048095703,-0.11014771461486816,0.3157894736842105,-0.016666666666666666
amazon-all-beauty,valid,99,26,16,0.6153846153846154,0.3,0.7,0.39999999999999997,-1.2434334754943848,-1.039310097694397,0.2041233777999878,0.4230769230769231,-0.03636363636363637
amazon-all-beauty,valid,109,12,2,0.16666666666666666,0.85,0.975,0.125,-0.7477282285690308,-0.3790555000305176,0.3686727285385132,0.0,nan
amazon-all-beauty,valid,110,14,4,0.2857142857142857,0.3,0.45,0.15000000000000002,-0.7946923971176147,-0.6523246765136719,0.14236772060394287,0.14285714285714285,-0.125
amazon-all-beauty,valid,124,12,2,0.16666666666666666,0.6,0.475,-0.125,1.8987274169921875,1.779958963394165,-0.11876845359802246,0.16666666666666666,-0.025
amazon-all-beauty,valid,140,14,4,0.2857142857142857,1.0,0.85,-0.15000000000000002,1.1065967082977295,1.0737906694412231,-0.03280603885650635,0.21428571428571427,-0.016666666666666666
amazon-all-beauty,valid,163,11,1,0.09090909090909091,0.75,0.425,-0.325,0.3811318874359131,0.4854578971862793,0.10432600975036621,0.0,nan
amazon-all-beauty,valid,170,26,16,0.6153846153846154,0.9,0.95,0.04999999999999993,2.1326260566711426,2.712339401245117,0.5797133445739746,0.34615384615384615,-0.0055555555555555575
amazon-all-beauty,valid,172,16,6,0.375,0.6,0.45,-0.14999999999999997,-1.3302749395370483,-1.221008539199829,0.10926640033721924,0.3125,-0.030000000000000006
amazon-all-beauty,valid,183,45,35,0.7777777777777778,0.7,0.3,-0.39999999999999997,0.6898198127746582,1.1899023056030273,0.5000824928283691,0.4888888888888889,-0.10454545454545454
amazon-all-beauty,valid,184,22,12,0.5454545454545454,0.85,0.225,-0.625,1.1621434688568115,1.1446971893310547,-0.017446279525756836,0.3181818181818182,-0.1785714285714286
amazon-all-beauty,valid,214,38,28,0.7368421052631579,1.0,0.975,-0.025000000000000022,8.252241134643555,5.7445387840271,-2.507702350616455,0.2631578947368421,-0.04
amazon-all-beauty,valid,238,11,1,0.09090909090909091,0.15,0.4,0.25,-0.7250473499298096,-0.8636133670806885,-0.1385660171508789,0.09090909090909091,0.0
amazon-all-beauty,valid,248,70,60,0.8571428571428571,0.05,0.7,0.6499999999999999,-1.291140079498291,-1.5678645372390747,-0.2767244577407837,0.5285714285714286,-0.010810810810810817
amazon-all-beauty,valid,250,15,5,0.3333333333333333,1.0,0.925,-0.07499999999999996,1.1321828365325928,3.108748197555542,1.9765653610229492,0.06666666666666667,-0.05
amazon-all-beauty,valid,273,36,26,0.7222222222222222,1.0,0.775,-0.22499999999999998,-1.4167416095733643,0.19513630867004395,1.6118779182434082,0.3055555555555556,-0.022727272727272728
amazon-all-beauty,valid,276,12,2,0.16666666666666666,1.0,0.975,-0.025000000000000022,0.7857413291931152,1.6417210102081299,0.8559796810150146,0.0,nan
amazon-all-beauty,valid,277,57,47,0.8245614035087719,0.4,0.45,0.04999999999999999,0.6240086555480957,-0.010400056838989258,-0.634408712387085,0.3508771929824561,0.019999999999999997
amazon-all-beauty,valid,280,12,2,0.16666666666666666,0.75,0.5,-0.25,1.655123233795166,1.6443023681640625,-0.010820865631103516,0.08333333333333333,0.0
amazon-all-beauty,valid,287,15,5,0.3333333333333333,0.95,0.925,-0.02499999999999991,2.359165906906128,1.9615978002548218,-0.39756810665130615,0.2,-0.10000000000000002
amazon-all-beauty,valid,304,11,1,0.09090909090909091,0.2,0.45,0.25,1.8513641357421875,1.547010898590088,-0.3043532371520996,0.09090909090909091,-0.1
amazon-all-beauty,valid,314,14,4,0.2857142857142857,0.65,0.375,-0.275,-0.8818067312240601,-0.5100622177124023,0.3717445135116577,0.07142857142857142,-0.05
amazon-all-beauty,valid,324,23,13,0.5652173913043478,0.4,0.275,-0.125,-0.465093731880188,-0.22501051425933838,0.2400832176208496,0.34782608695652173,-0.03125
amazon-all-beauty,valid,330,14,4,0.2857142857142857,0.65,0.875,0.22499999999999998,-1.5751769542694092,-1.0963444709777832,0.478832483291626,0.14285714285714285,0.375
amazon-all-beauty,valid,332,14,4,0.2857142857142857,1.0,0.375,-0.625,2.750215530395508,2.8837125301361084,0.13349699974060059,0.14285714285714285,0.0
amazon-all-beauty,valid,335,19,9,0.47368421052631576,0.55,0.25,-0.30000000000000004,0.803109884262085,0.5907480716705322,-0.21236181259155273,0.3684210526315789,0.0
amazon-all-beauty,valid,336,20,10,0.5,0.8,0.15,-0.65,-0.5977004766464233,0.6384313106536865,1.2361317873001099,0.05,-0.05
amazon-all-beauty,valid,347,13,3,0.23076923076923078,0.2,0.45,0.25,-0.8114863634109497,-1.031407117843628,-0.21992075443267822,0.15384615384615385,0.0
amazon-all-beauty,valid,352,20,10,0.5,0.25,0.375,0.125,-0.8062855005264282,-0.6560970544815063,0.15018844604492188,0.35,-0.1285714285714286
amazon-all-beauty,valid,355,13,3,0.23076923076923078,0.75,0.45,-0.3,1.0032665729522705,1.2476835250854492,0.2444169521331787,0.07692307692307693,-0.2
amazon-all-beauty,valid,362,22,12,0.5454545454545454,0.85,1.0,0.15000000000000002,0.46881866455078125,0.9497544765472412,0.48093581199645996,0.22727272727272727,-0.030000000000000006
amazon-all-beauty,valid,379,11,1,0.09090909090909091,0.65,0.475,-0.17500000000000004,1.1632897853851318,1.0137829780578613,-0.1495068073272705,0.0,nan
amazon-all-beauty,valid,390,11,1,0.09090909090909091,0.1,0.425,0.32499999999999996,0.4672737121582031,0.29297900199890137,-0.17429471015930176,0.09090909090909091,-0.05
amazon-all-beauty,valid,397,12,2,0.16666666666666666,0.2,0.425,0.22499999999999998,1.549118995666504,1.0177619457244873,-0.5313570499420166,0.16666666666666666,0.0
amazon-all-beauty,valid,408,16,6,0.375,0.4,0.325,-0.07500000000000001,0.8684719800949097,0.2628965377807617,-0.605575442314148,0.3125,-0.01
amazon-all-beauty,valid,412,30,20,0.6666666666666666,0.5,0.875,0.375,0.9472155570983887,0.9296362400054932,-0.017579317092895508,0.36666666666666664,-0.03636363636363636
amazon-all-beauty,valid,419,94,84,0.8936170212765957,0.85,0.2,-0.6499999999999999,-0.5074304342269897,-1.4304004907608032,-0.9229700565338135,0.776595744680851,-0.057534246575342465
amazon-all-beauty,valid,423,11,1,0.09090909090909091,0.65,0.475,-0.17500000000000004,0.5327634811401367,0.5324050188064575,-0.0003584623336791992,0.0,nan
amazon-all-beauty,valid,425,16,6,0.375,0.2,0.425,0.22499999999999998,-1.2047874927520752,-1.661747694015503,-0.45696020126342773,0.3125,-0.09
amazon-all-beauty,valid,432,47,37,0.7872340425531915,0.95,0.95,0.0,1.7808020114898682,3.624035596847534,1.843233585357666,0.19148936170212766,-0.07222222222222223
amazon-all-beauty,valid,441,33,23,0.696969696969697,1.0,0.875,-0.125,2.3198680877685547,1.8097617626190186,-0.5101063251495361,0.30303030303030304,-0.095
amazon-all-beauty,valid,454,13,3,0.23076923076923078,0.85,0.925,0.07500000000000007,-1.105424165725708,-1.0673240423202515,0.03810012340545654,0.15384615384615385,-0.15000000000000002
amazon-all-beauty,valid,459,11,1,0.09090909090909091,0.1,0.5,0.4,-0.24544572830200195,-0.373440146446228,-0.12799441814422607,0.09090909090909091,-0.05
amazon-all-beauty,valid,462,19,9,0.47368421052631576,0.35,0.225,-0.12499999999999997,-0.7141218781471252,-0.7210396528244019,-0.006917774677276611,0.21052631578947367,-0.05
amazon-all-beauty,valid,464,21,11,0.5238095238095238,0.65,0.35,-0.30000000000000004,0.5512326955795288,0.23996591567993164,-0.31126677989959717,0.23809523809523808,-0.1
amazon-all-beauty,valid,465,12,2,0.16666666666666666,1.0,0.5,-0.5,1.254789113998413,1.4081645011901855,0.15337538719177246,0.08333333333333333,-0.05
amazon-all-beauty,valid,471,15,5,0.3333333333333333,0.6,0.375,-0.22499999999999998,0.6159282922744751,0.550370454788208,-0.06555783748626709,0.26666666666666666,0.0
